Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
45,"Atlanta , GA",9/30/1974,Mississippi State,Retired,,8 Seasons,73,,,"Favors, Greg",,gregfavors/2500605,,244,1998 - 2005
31,"Laurinburg , NC",9/9/1988,Virginia Tech,Retired,,4 Seasons,70,,,"Carmichael, Roc",,roccarmichael/2495133,,197,2011 - 2014
41,"Oceanside , CA",3/1/1978,Arizona State,Retired,,6 Seasons,76,,,"Flowers, Erik",,erikflowers/2504302,,273,2000 - 2005
28,"Los Angeles , CA",2/15/1991,Virginia Tech,Retired,,1 Season,76,,,"Gayle, James",,jamesgayle/2550484,,255,2015 - 2015
83,"Peabody , MA",7/17/1936,Middle Tennessee State,Retired,,6 Seasons,74,,,"DeLucca, Jerry",,jerrydelucca/2512766,,247,1959 - 1964
44,"Kansas City , KS",4/22/1975,Stanford,Retired,,2 Seasons,71,,,"Manning, Brian",,brianmanning/2501862,,187,1997 - 1998
38,"Dallas , TX",2/16/1981,Baylor,Retired,,2 Seasons,73,,,"Newhouse, Reggie",,reggienewhouse/2505307,,198,2004 - 2006
56,"Oakland , CA",11/12/1962,Fresno State,Retired,,3 Seasons,74,,,"Taylor, Gene",,genetaylor/2527081,,189,1987 - 1991
96,"Camden , AL",2/26/1923,Texas,Retired,,2 Seasons,72,,,"Harris, Hank",,hankharris/2515942,,265,1947 - 1948
29,"Miami , FL",11/14/1989,Florida International,Active,Indianapolis Colts,8th season,70,Miami Springs HS,FL,"Hilton, T.Y.",13,t.y.hilton/2532865,WR,183,
,"Foosland , IL",10/18/1906,Northwestern,Retired,,2 Seasons,74,,,"Lewis, Tiny",,tinylewis/2519461,,210,1930 - 1931
58,"Independence , MO",4/30/1961,Missouri,Retired,,1 Season,76,,,"Gibler, Andy",,andygibler/2514819,,235,1983 - 1983
60,"San Diego , CA",11/22/1958,Arizona State,Retired,,10 Seasons,76,,,"Malone, Mark",,markmalone/2520038,,223,1980 - 1989
26,"Cincinnati , OH",6/18/1993,Michigan State,Cut from team,,Season,78,,,"Heath, Joel",,joelheath/2556551,,302,
55,"New Orleans , LA",1/30/1964,Jackson State,Retired,,6 Seasons,77,,,"Seals, Leon",,leonseals/2502882,,265,1987 - 1992
29,"Sacramento , CA",12/2/1989,Cal Poly-S.L.O.,Retired,,6 Seasons,70,,,"Jackson, Asa",,asajackson/2532872,,183,2012 - 2017
70,"Cleveland , OH",1/12/1949,Virginia,Retired,,5 Seasons,75,,,"Selfridge, Andy",,andyselfridge/2525309,,218,1972 - 1977
82,"Fort Worth , TX",12/10/1936,Texas Christian,Retired,,3 Seasons,74,,,"Enis, Hunter",,hunterenis/2513657,,195,1960 - 1962
31,,2/1/1988,Georgia,Retired,,1 Season,78,,,"Davis, Josh",,joshdavis/2530497,,300,2011 - 2011
,"Ligonier , PA",9/17/1910,West Virginia,Retired,,1 Season,66,,,"Marker, Harry",,harrymarker/2520159,,155,1934 - 1934
,"Sheppton , PA",8/20/1917,Fordham,Retired,,2 Seasons,72,,,"Sartori, Larry",,larrysartori/2524930,,208,1942 - 1945
59,Curimeo Mexico,5/15/1960,Nevada,Retired,,11 Seasons,68,,,"Zendejas, Tony",,tonyzendejas/2503856,,165,1985 - 1995
74,"Knoxville , TN",10/16/1945,Mississippi State,Retired,,13 Seasons,73,,,"Lewis, D.D.",,d.d.lewis/2519433,,225,1968 - 1981
72,"Portland , OR",7/3/1947,Oregon,Retired,,4 Seasons,71,,,"Welch, Claxton",,claxtonwelch/2528485,,203,1969 - 1973
23,USA,10/10/1996,Clemson,dev?,Minnesota Vikings,Rookie,70,William Amos Hough HS,"Cornelius, NC","Fields, Mark",,markfields/2562442,CB,181,
80,"Lafayette , LA",8/16/1939,Tulane,Retired,,1 Season,74,,,"Nugent, Phil",,philnugent/2522301,,195,1961 - 1961
67,"Detroit , MI",2/10/1952,Northwestern,Retired,,2 Seasons,73,,,"Varty, Mike",,mikevarty/2527900,,223,1974 - 1975
25,"Richmond , CA",11/2/1994,Texas,Injured reserve,Philadelphia Eagles,4th season,75,Mansfield HS,TX,"Ridgeway, Hassan",98,hassanridgeway/2555514,DT,305,
28,,4/18/1991,Arkansas,Retired,,1 Season,72,,,"Rasner, Ross",,rossrasner/2541562,,208,2013 - 2013
47,"Lompoc , CA",4/27/1972,Oregon,Retired,,3 Seasons,70,,,"Thompson, Tommy",,tommythompson/2503342,,192,1995 - 1997
22,USA,6/5/1997,Florida,Active,Cincinnati Bengals,Rookie,79,Royal Palm Beach HS,"Royal Palm Beach, FL","Johnson, Fred",74,fredjohnson/2562458,OG,326,
,"Florence , PA",10/26/1917,Pittsburgh,Retired,,1 Season,72,,,"West, Walter",,walterwest/2528567,,197,1944 - 1944
24,,6/2/1995,Boise State,dev?,Arizona Cardinals,Rookie,72,,,"Richardson, A.J.",,a.j.richardson/2563019,WR,212,
31,,6/20/1988,Nicholls State,Retired,,1 Season,74,,,"Daniels, Dominique",,dominiquedaniels/2512440,,190,2010 - 2010
54,"Miami , FL",12/1/1964,Tennessee State,Retired,,3 Seasons,74,,,"Elam, Onzy",,onzyelam/2513533,,225,1987 - 1989
32,"Charleston , SC",2/27/1987,South Carolina,Retired,,1 Season,77,,,"King, Jarriel",,jarrielking/2495191,,317,2011 - 2011
33,"Cincinnati , OH",5/29/1986,Cincinnati,Cut from team,,Season,73,,,"Windt, Mike",,mikewindt/2507845,,237,
,"Beaver Meadows , PA",3/31/1922,Fordham,Retired,,3 Seasons,70,,,"Yackanich, Joe",,joeyackanich/2529482,,205,1946 - 1948
,,,Xavier (Ohio),Retired,,2 Seasons,72,,,"Knecht, Bill",,billknecht/2518632,,188,1925 - 1926
23,USA,12/22/1995,Texas State,Cut from team,,Season,74,,,"Brown, Keenen",,keenenbrown/2562239,,250,
81,"Chicago , IL",3/18/1938,Kentucky State,Retired,,2 Seasons,75,,,"Kenerson, John",,johnkenerson/2518330,,255,1960 - 1962
,"Toronto , ON",7/8/1980,Michigan State,Retired,,3 Seasons,73,,,"Labinjo, Mike",,mikelabinjo/2505728,,255,2004 - 2006
25,"Inglewood , CA",12/7/1993,California,Retired,,3 Seasons,71,,,"Harper, Chris",,chrisharper/2553652,,185,2015 - 2017
54,"Jacksonville , FL",7/20/1965,Stephen F. Austin St.,Retired,,1 Season,68,,,"Newsom, Tony",,tonynewsom/2522104,,175,1987 - 1987
31,"Neptune , NJ",6/30/1988,Marshall,Active,Philadelphia Eagles,8th season,75,Neptune HS,NJ,"Curry, Vinny",75,vinnycurry/2532825,DE,279,
30,"Albany , GA",3/29/1989,Auburn,Retired,,2 Seasons,78,,,"Ziemba, Lee",,leeziemba/2508141,,313,2011 - 2013
,"St. Paul , MN",3/19/1901,St. Thomas,Retired,,2 Seasons,69,,,"Reichow, Chuck",,chuckreichow/2523922,,183,1925 - 1926
,"Spokane , WA",6/13/1921,Washington State,Retired,,3 Seasons,73,,,"Akins, Al",,alakins/2508277,,199,1946 - 1948
,"New Orleans , LA",12/15/1929,Oregon,Retired,,1 Season,78,,,"Barnes, Emery",,emerybarnes/2509014,,235,1956 - 1956
38,"Moutain View , CA",3/12/1981,USC,Retired,,1 Season,74,,,"Mattos, Grant",,grantmattos/2505309,,220,2003 - 2006
66,"Los Angeles , CA",4/2/1953,USC,Retired,,9 Seasons,74,,,"Obradovich, Jim",,jimobradovich/2522344,,225,1975 - 1983
30,,1/4/1989,Morehouse,Retired,,4 Seasons,76,,,"Anunoby, Chigbo",,chigboanunoby/2534888,,324,2012 - 2016
67,"Cambridge , NE",1/8/1952,Nebraska,Retired,,2 Seasons,74,,,"Damkroger, Maury",,maurydamkroger/2512421,,230,1974 - 1975
50,"Houston , TX",2/17/1969,Houston,Retired,,6 Seasons,75,,,"Klingler, David",,davidklingler/2501636,,215,1992 - 1997
22,USA,1/24/1997,Alabama-Birmingham,Cut from team,San Francisco 49ers,Rookie,80,Palo Verde HS,"Las Vegas, NV","Garcia-Williams, Jamell",71,jamellgarcia-williams/2562904,DE,260,
26,"Gainesville , FL",3/23/1993,Tennessee,Injured reserve,Tennessee Titans,2nd season,76,Gainesville HS,FL,"Williams, Jordan",40,jordanwilliams/2553690,LB,262,
22,"Norfolk , VA",4/20/1997,North Carolina,Active,Carolina Panthers,2nd season,72,Trinity Christian Academy HS,"Jacksonville, FL","Smith, Andre",57,andresmith/2560875,LB,240,
,"Conway , TX",4/15/1928,Southern Methodist,Retired,,1 Season,72,,,"Ethridge, Joe",,joeethridge/2513722,,230,1949 - 1949
65,"Florence , SC",10/29/1954,Clemson,Retired,,1 Season,72,,,"Walters, Joey",,joeywalters/2528185,,175,1987 - 1987
35,"Wrens , GA",3/19/1984,USC,Retired,,4 Seasons,75,,,"Ramsey, LaJuan",,lajuanramsey/2506970,,300,2006 - 2009
35,"Newport News , VA",3/20/1984,Virginia Tech,Retired,,1 Season,72,,,"Vick, Marcus",,marcusvick/2495965,,216,2006 - 2006
54,"Lakewood , OH",11/22/1964,Miami (Ohio),Retired,,1 Season,71,,,"Schillinger, Andy",,andyschillinger/2525031,,179,1988 - 1988
26,"Salisbury , NC",2/7/1993,South Carolina State,Active,Pittsburgh Steelers,4th season,74,North Rowan HS,"Spencer, NC","Hargrave, Javon",79,javonhargrave/2555239,NT,305,
72,"Canton , OH",6/20/1947,Notre Dame,Retired,,2 Seasons,74,,,"Belden, Bob",,bobbelden/2509327,,210,1969 - 1970
31,"San Diego , CA",11/25/1987,Colorado State,Retired,,1 Season,75,,,"Albritton, Scott",,scottalbritton/2531276,,234,2011 - 2011
25,"Claremont , CA",4/24/1994,Washington,Active,New Orleans Saints,4th season,73,Gahr HS,"Cerritos, CA","Washington, Dwayne",27,dwaynewashington/2556118,RB,223,
27,"Goose Creek , SC",2/6/1992,South Carolina,Active,New York Jets,4th season,77,Goose Creek HS,SC,"Shell, Brandon",72,brandonshell/2555193,OT,324,
23,"Philadelphia , PA",10/29/1996,Notre Dame,Active,New York Jets,2nd season,74,Central Bucks South HS,"Warrington, PA","Adams, Josh",36,joshadams/2560949,RB,225,
30,,5/15/1989,Wisconsin,Retired,,2 Seasons,76,,,"Nzegwu, Louis",,louisnzegwu/2534823,,260,2012 - 2013
36,"Santa Ana , CA",5/11/1983,USC,Retired,,8 Seasons,77,,,"Leinart, Matt",,mattleinart/2506878,,225,2006 - 2013
81,"Decatur , IL",10/28/1938,Ohio State,Retired,,2 Seasons,73,,,"Tidmore, Sam",,samtidmore/2527416,,230,1962 - 1963
26,,10/13/1993,Missouri,Retired,,1 Season,74,,,"Newsom, Donavin",,donavinnewsom/2558981,,240,2017 - 2017
75,"Milwaukee , WI",2/10/1944,Wichita State,Retired,,3 Seasons,76,,,"Waskiewicz, Jim",,jimwaskiewicz/2528323,,240,1966 - 1969
,"Culleoka , TN",8/27/1920,Vanderbilt,Retired,,5 Seasons,76,,,"Peebles, Jim",,jimpeebles/2522951,,231,1946 - 1951
,"Brooklyn , NY",12/23/1899,Princeton,Retired,,2 Seasons,68,,,"MacPhee, Waddy",,waddymacphee/2519935,,160,1925 - 1926
24,"Chicago , IL",1/20/1995,Indiana State,Retired,,1 Season,72,,,"Thurman, Jameer",,jameerthurman/2562034,,230,2019 - 2019
,"Fort Bragg , CA",11/3/1907,Stanford,Retired,,1 Season,73,,,"Norgard, Al",,alnorgard/2522236,,194,1934 - 1934
24,"Martinsburg , WV",9/12/1995,West Virginia,Active,New York Jets,Rookie,75,Musselman HS,"Inwood, WV","Wesco, Trevon",85,trevonwesco/2562777,TE,267,
22,"Pompano Beach , FL",1/7/1997,Louisville,Active,Baltimore Ravens,2nd season,74,Boynton Beach Community HS,FL,"Jackson, Lamar",8,lamarjackson/2560757,QB,212,
25,,12/30/1993,Mississippi,Retired,,1 Season,69,,,"Davis, Carlos",,carlosdavis/2559021,,170,2017 - 2017
27,"Chester , PA",8/2/1992,West Chester,Retired,,3 Seasons,74,,,"Shabazz, Al-Hajj",,al-hajjshabazz/2553476,,200,2015 - 2017
25,"Norcross , GA",5/17/1994,West Georgia,Active,Carolina Panthers,3rd season,74,Dacula HS,GA,"Armah, Alex",40,alexarmah/2558833,FB,255,
45,"Conroe , TX",1/13/1974,Colorado,Retired,,11 Seasons,76,,,"Lepsis, Matt",,mattlepsis/2501727,,290,1997 - 2007
24,"Carlsbad , CA",3/23/1995,UCLA,Active,Los Angeles Chargers,2nd season,76,La Costa Canyon HS,"Carlsbad, CA","Quessenberry, Scott",61,scottquessenberry/2560846,C,310,
34,,9/4/1985,San Jose State,Retired,,0 Season,71,,,"Vedder, Christopher",,christophervedder/2527925,,210,2007 - 2007
25,"Auburn , CA",10/13/1994,UCLA,dev?,Houston Texans,3rd season,75,Pacer HS,"Auburn, CA","Vanderdoes, Eddie",,eddievanderdoes/2557982,DT,315,
,"Coal City , IL",4/4/1900,Northwestern,Retired,,2 Seasons,,,,"DeStefano, Fred",,freddestefano/2512847,,195,1924 - 1925
65,"Oakland , CA",1/19/1954,San Jose State,Retired,,18 Seasons,75,,,"DeBerg, Steve",,stevedeberg/2500356,,230,1977 - 1998
,"Melrose , NM",12/7/1908,Oklahoma,Retired,,1 Season,76,,,"Young, Paul",,paulyoung/2529567,,195,1933 - 1933
35,Haiti,11/19/1983,Georgia,Retired,,6 Seasons,75,,,"Jean-Gilles, Max",,maxjean-gilles/2506913,,320,2006 - 2011
45,,12/21/1973,Southern University,Retired,,1 Season,72,,,"Baker, Donnell",,donnellbaker/2499498,,180,1996 - 1996
26,"Sacramento , CA",4/1/1993,Arizona,Active,Tennessee Titans,2nd season,76,Betty Fairfax HS,"Laveen, AZ","Gilbert, Reggie",93,reggiegilbert/2556537,LB,260,
27,"Columbia , SC",4/10/1992,Kentucky,Retired,,1 Season,74,,,"Johnson, Cory",,coryjohnson/2556433,,298,2016 - 2016
28,,9/10/1991,Delaware,Retired,,1 Season,74,,,"Johnson, Michael",,michaeljohnson/2554347,,210,2015 - 2015
25,"Akron , OH",2/9/1994,Michigan,Active,Jacksonville Jaguars,4th season,74,Buchtel HS,"Akron, OH","Wilson, Jarrod",26,jarrodwilson/2556711,FS,210,
24,"Queens , NY",9/11/1995,Stony Brook,dev?,Washington Redskins,1st season,78,Floral Park HS,NY,"Parris, Timon",61,timonparris/2560833,OT,320,
48,"Eau Claire , WI",1/9/1971,Wis.-La Crosse,Retired,,10 Seasons,75,,,"Schroeder, Bill",,billschroeder/2502858,,200,1994 - 2004
41,"Los Angeles , CA",11/7/1978,Notre Dame,Retired,,1 Season,67,,,"Getherall, Joey",,joeygetherall/2504406,,177,2002 - 2002
28,"San Diego , CA",7/30/1991,Stanford,Active,San Francisco 49ers,7th season,80,Helix HS,"La Mesa, CA","Toilolo, Levine",83,levinetoilolo/2540203,TE,268,
,"Washington Heights , IL",2/17/1897,Illinois,Retired,,1 Season,70,,,"Charpier, Len",,lencharpier/2511374,,235,1920 - 1920
43,"Pinehurst , NC",11/4/1976,North Carolina A&T,Retired,,4 Seasons,73,,,"Carpenter, Dwaine",,dwainecarpenter/2505426,,208,2003 - 2006
49,"Haverstraw , NY",1/26/1970,Alabama,Retired,,3 Seasons,70,,,"Lassic, Derrick",,derricklassic/2501700,,205,1993 - 1995
,"Campbell , OH",3/15/1918,Indiana,Retired,,1 Season,73,,,"Tofil, Joe",,joetofil/2527492,,205,1942 - 1942
81,"Youngstown , OH",8/22/1938,The Citadel,Retired,,11 Seasons,72,,,"Maguire, Paul",,paulmaguire/2519977,,228,1960 - 1970
38,"Berwyn , IL",11/29/1980,Northern Illinois,Retired,,2 Seasons,70,,,"Fleck, P.J.",,p.j.fleck/2505844,,191,2004 - 2005
29,"Arlington , TX",11/22/1989,Oklahoma State,Injured reserve,Green Bay Packers,7th season,75,Martin HS,"Arlington, TX","Taylor, Lane",65,lanetaylor/2541898,OG,324,
36,"Louisville , KY",10/15/1983,Wake Forest,Retired,,2 Seasons,70,,,"Barclay, Chris",,chrisbarclay/2506680,,180,2006 - 2008
,Triere Germany,12/10/1880,No College,Retired,,2 Seasons,72,,,"Nesser, Phil",,philnesser/2522063,,225,1920 - 1921
27,,12/28/1991,West Texas A&M,Retired,,1 Season,79,,,"Iosia, Iosia",,iosiaiosia/2556744,,297,2016 - 2016
30,"Vallejo , CA",8/20/1989,Nevada,Retired,,5 Seasons,73,,,"Johnson, James-Michael",,james-michaeljohnson/2532880,,238,2012 - 2016
