,name,team,opponent,points,salary,week
0,San Francisco,sfo,tam,27,3700,1
1,Tennessee,ten,cle,23,3700,1
2,New York J,nyj, buf,18,4200,1
3,Minnesota,min, atl,16,4300,1
4,Green Bay,gnb,chi,14,3700,1
5,Baltimore,bal,mia,13,5000,1
6,Tampa Bay,tam, sfo,12,3500,1
7,Seattle,sea, cin,12,4500,1
8,Buffalo,buf,nyj,10,4000,1
9,New England,nwe, pit,10,3800,1
10,Chicago,chi, gnb,9,4500,1
11,LA Rams,lar,car,9,4400,1
12,New Orleans,nor, hou,7,4100,1
13,Detroit,det,ari,7,4100,1
14,Arizona,ari, det,7,3600,1
15,Indianapolis,ind,lac,7,3600,1
16,Cincinnati,cin,sea,6,3100,1
17,Dallas,dal, nyg,6,4700,1
18,Kansas City,kan,jac,5,3900,1
19,Oakland,oak, den,4,3600,1
20,Carolina,car, lar,4,3500,1
21,Houston,hou,nor,2,3800,1
22,LA Chargers,lac, ind,2,4000,1
23,Philadelphia,phi, was,1,4600,1
24,Denver,den,oak,0,4500,1
25,Cleveland,cle, ten,0,4300,1
26,Atlanta,atl,min,0,3500,1
27,Washington,was,phi,0,3500,1
28,Pittsburgh,pit,nwe,0,3500,1
29,Miami,mia, bal,-3,3000,1
30,Jacksonville,jac, kan,-4,3900,1
31,New York G,nyg,dal,-4,3400,1
32,New England,nwe,mia,37,4900,2
33,Cleveland,cle,nyj,13,3900,2
34,Green Bay,gnb, min,12,3900,2
35,Kansas City,kan,oak,11,4400,2
36,Houston,hou, jac,10,4800,2
37,Atlanta,atl, phi,10,3300,2
38,Tampa Bay,tam,car,9,3500,2
39,Detroit,det, lac,9,4000,2
40,Jacksonville,jac,hou,8,3800,2
41,LA Rams,lar, nor,8,3600,2
42,Tennessee,ten, ind,8,4600,2
43,LA Chargers,lac,det,8,4000,2
44,Philadelphia,phi,atl,7,4100,2
45,San Francisco,sfo,cin,7,3700,2
46,Pittsburgh,pit, sea,7,3500,2
47,Buffalo,buf,nyg,6,4600,2
48,Carolina,car, tam,6,3500,2
49,Minnesota,min,gnb,6,4000,2
50,New Orleans,nor,lar,5,3800,2
51,New York J,nyj, cle,5,3800,2
52,Chicago,chi,den,5,4500,2
53,Indianapolis,ind,ten,5,3600,2
54,Baltimore,bal, ari,4,5000,2
55,Oakland,oak, kan,3,2500,2
56,Seattle,sea,pit,3,3700,2
57,Miami,mia, nwe,3,2500,2
58,Arizona,ari,bal,2,3000,2
59,Washington,was, dal,2,3400,2
60,New York G,nyg, buf,2,3500,2
61,Denver,den, chi,1,4500,2
62,Dallas,dal,was,1,4700,2
63,Cincinnati,cin, sfo,-2,3900,2
64,Chicago,chi,was,21,4700,3
65,New York J,nyj,nwe,16,3000,3
66,Jacksonville,jac, ten,15,4700,3
67,New Orleans,nor,sea,14,3800,3
68,New England,nwe, nyj,14,5000,3
69,Detroit,det,phi,13,3500,3
70,Carolina,car,ari,13,3700,3
71,Green Bay,gnb, den,13,4500,3
72,Dallas,dal, mia,12,5000,3
73,Buffalo,buf, cin,11,4600,3
74,Pittsburgh,pit,sfo,11,3500,3
75,Cleveland,cle, lar,9,3900,3
76,LA Rams,lar,cle,9,3600,3
77,Tampa Bay,tam, nyg,8,4300,3
78,Houston,hou,lac,8,4400,3
79,San Francisco,sfo, pit,7,3700,3
80,Minnesota,min, oak,7,4200,3
81,New York G,nyg,tam,7,3700,3
82,Cincinnati,cin,buf,5,3400,3
83,Washington,was, chi,5,3400,3
84,LA Chargers,lac, hou,4,3800,3
85,Philadelphia,phi, det,2,4500,3
86,Kansas City,kan, bal,2,3500,3
87,Seattle,sea, nor,2,3400,3
88,Miami,mia,dal,2,2000,3
89,Indianapolis,ind, atl,2,3600,3
90,Atlanta,atl,ind,1,3800,3
91,Tennessee,ten,jac,1,4600,3
92,Denver,den,gnb,0,3800,3
93,Arizona,ari, car,0,3200,3
94,Baltimore,bal,kan,0,3400,3
95,Oakland,oak,min,-1,3300,3
96,New England,nwe,buf,25,4800,4
97,New York G,nyg, was,24,3800,4
98,Pittsburgh,pit, cin,19,4200,4
99,Chicago,chi, min,17,4700,4
100,Seattle,sea,ari,16,3700,4
101,Tampa Bay,tam,lar,15,3200,4
102,Carolina,car,hou,14,3500,4
103,Kansas City,kan,det,13,3500,4
104,New Orleans,nor, dal,11,3600,4
105,Dallas,dal,nor,11,5000,4
106,Tennessee,ten,atl,11,3500,4
107,LA Chargers,lac,mia,11,5300,4
108,Oakland,oak,ind,10,3400,4
109,Houston,hou, car,10,4400,4
110,Cleveland,cle,bal,10,3500,4
111,Washington,was,nyg,9,4100,4
112,Buffalo,buf, nwe,6,3400,4
113,LA Rams,lar, tam,6,4300,4
114,Denver,den, jac,5,4100,4
115,Philadelphia,phi,gnb,5,3300,4
116,Detroit,det, kan,5,3100,4
117,Arizona,ari, sea,4,3200,4
118,Indianapolis,ind, oak,3,4200,4
119,Cincinnati,cin,pit,2,3900,4
120,Jacksonville,jac,den,2,4700,4
121,Minnesota,min,chi,2,4000,4
122,Atlanta,atl, ten,0,3900,4
123,Miami,mia, lac,0,2500,4
124,Green Bay,gnb, phi,-1,3800,4
125,Baltimore,bal, cle,-1,4200,4
126,Philadelphia,phi, nyj,35,4900,5
127,San Francisco,sfo, cle,19,3500,5
128,Carolina,car, jac,14,4400,5
129,New England,nwe,was,14,5500,5
130,LA Chargers,lac, den,14,4600,5
131,Denver,den,lac,12,4000,5
132,Minnesota,min,nyg,12,4500,5
133,Buffalo,buf,ten,11,4300,5
134,Pittsburgh,pit, bal,11,3400,5
135,Indianapolis,ind,kan,10,3000,5
136,Houston,hou, atl,9,4300,5
137,Green Bay,gnb,dal,9,3400,5
138,Oakland,oak, chi,8,4100,5
139,Tennessee,ten, buf,7,4800,5
140,New Orleans,nor, tam,6,4000,5
141,Washington,was, nwe,5,2500,5
142,New York G,nyg, min,5,3600,5
143,Baltimore,bal,pit,5,4500,5
144,Jacksonville,jac,car,4,4500,5
145,New York J,nyj,phi,4,3100,5
146,Chicago,chi,oak,4,5000,5
147,Cleveland,cle,sfo,3,4200,5
148,Kansas City,kan, ind,3,4400,5
149,Seattle,sea, lar,3,3700,5
150,LA Rams,lar,sea,2,3700,5
151,Tampa Bay,tam,nor,1,3500,5
152,Cincinnati,cin, ari,1,3700,5
153,Dallas,dal, gnb,1,3900,5
154,Arizona,ari,cin,1,3700,5
155,Atlanta,atl,hou,-2,3300,5
156,New England,nwe, nyg,27,5000,6
157,Denver,den, ten,23,4500,6
158,Carolina,car,tam,21,3700,6
159,Pittsburgh,pit,lac,14,3400,6
160,New York G,nyg,nwe,13,3000,6
161,New Orleans,nor,jac,11,4000,6
162,San Francisco,sfo,lar,10,3500,6
163,Washington,was,mia,10,4200,6
164,Cincinnati,cin,bal,9,3200,6
165,Seattle,sea,cle,9,4100,6
166,Minnesota,min, phi,9,3600,6
167,Baltimore,bal, cin,8,5000,6
168,Jacksonville,jac, nor,7,4100,6
169,Detroit,det,gnb,7,3100,6
170,LA Rams,lar, sfo,7,4300,6
171,Houston,hou,kan,5,3200,6
172,Kansas City,kan, hou,5,3400,6
173,Dallas,dal,nyj,4,5000,6
174,Cleveland,cle, sea,4,3500,6
175,Tennessee,ten,den,4,4700,6
176,Green Bay,gnb, det,3,4200,6
177,LA Chargers,lac, pit,3,5000,6
178,Philadelphia,phi,min,1,4500,6
179,New York J,nyj, dal,1,3100,6
180,Miami,mia, was,1,3700,6
181,Arizona,ari, atl,1,3500,6
182,Tampa Bay,tam, car,0,3500,6
183,Atlanta,atl,ari,-1,3800,6
184,New England,nwe,nyj,25,5000,7
185,Kansas City,kan,den,24,4200,7
186,LA Rams,lar,atl,21,4300,7
187,Baltimore,bal,sea,18,4000,7
188,Jacksonville,jac,cin,17,4900,7
189,Dallas,dal, phi,15,3700,7
190,San Francisco,sfo,was,15,5000,7
191,Arizona,ari,nyg,15,3700,7
192,Buffalo,buf, mia,11,5500,7
193,New Orleans,nor,chi,11,4400,7
194,New York G,nyg, ari,10,3700,7
195,Indianapolis,ind, hou,9,3600,7
196,Washington,was, sfo,8,3500,7
197,Chicago,chi, nor,6,4500,7
198,Green Bay,gnb, oak,4,4700,7
199,Tennessee,ten, lac,4,4200,7
200,LA Chargers,lac,ten,4,4600,7
201,Minnesota,min,det,3,3800,7
202,Cincinnati,cin, jac,2,3800,7
203,Houston,hou,ind,2,3900,7
204,Seattle,sea, bal,2,4100,7
205,Miami,mia,buf,2,2500,7
206,Denver,den, kan,1,3400,7
207,Philadelphia,phi,dal,1,3600,7
208,New York J,nyj, nwe,1,3300,7
209,Atlanta,atl, lar,-1,3200,7
210,Oakland,oak,gnb,-3,3200,7
211,Detroit,det, min,-4,3500,7
212,New England,nwe, cle,21,5000,8
213,San Francisco,sfo, car,17,4800,8
214,Jacksonville,jac, nyj,15,4500,8
215,Pittsburgh,pit, mia,13,4700,8
216,Philadelphia,phi,buf,12,4000,8
217,Minnesota,min, was,12,5500,8
218,Detroit,det, nyg,11,4500,8
219,Tennessee,ten, tam,11,4600,8
220,Seattle,sea,atl,9,4900,8
221,LA Rams,lar, cin,9,5000,8
222,LA Chargers,lac,chi,9,4100,8
223,New Orleans,nor, ari,8,4400,8
224,New York G,nyg,det,8,3400,8
225,Denver,den,ind,7,3400,8
226,Indianapolis,ind, den,7,4800,8
227,Washington,was,min,6,3200,8
228,Tampa Bay,tam,ten,5,3700,8
229,Cleveland,cle,nwe,5,3000,8
230,Buffalo,buf, phi,4,4300,8
231,Kansas City,kan, gnb,4,3300,8
232,Chicago,chi, lac,4,4500,8
233,Green Bay,gnb,kan,4,4500,8
234,Miami,mia,pit,4,3300,8
235,Oakland,oak,hou,3,3100,8
236,New York J,nyj,jac,3,3700,8
237,Carolina,car,sfo,3,3500,8
238,Atlanta,atl, sea,2,3000,8
239,Arizona,ari,nor,1,3500,8
240,Cincinnati,cin,lar,0,3100,8
241,Houston,hou, oak,0,4400,8
