,name,team,opponent,points,salary,week
0,"Jackson, Lamar",bal,mia,33.56,7400,1
1,"Prescott, Dak",dal, nyg,33.4,7500,1
2,"Watson, Deshaun",hou,nor,31.72,8500,1
3,"Stafford, Matthew",det,ari,27.6,6600,1
4,"Mahomes II, Patrick",kan,jac,27.32,8700,1
5,"Keenum, Case",was,phi,27.2,6200,1
6,"Brady, Tom",nwe, pit,25.64,7300,1
7,"Wentz, Carson",phi, was,25.02,7600,1
8,"Rivers, Philip",lac, ind,24.92,7500,1
9,"Mariota, Marcus",ten,cle,24.32,6500,1
10,"Murray, Kyler",ari, det,22.62,7300,1
11,"Brees, Drew",nor, hou,21.8,8000,1
12,"Dalton, Andy",cin,sea,20.72,6500,1
13,"Ryan, Matt",atl,min,20.56,8000,1
14,"Minshew, Gardner",jac, kan,18.6,6000,1
15,"Allen, Josh",buf,nyj,17.96,6900,1
16,"Wilson, Russell",sea, cin,16.64,8200,1
17,"Brissett, Jacoby",ind,lac,16.5,6000,1
18,"Manning, Eli",nyg,dal,14.84,6400,1
19,"Flacco, Joe",den,oak,14.82,6400,1
20,"Carr, Derek",oak, den,14.56,6600,1
21,"Cousins, Kirk",min, atl,14.32,7400,1
22,"Darnold, Sam",nyj, buf,13,6700,1
23,"Rodgers, Aaron",gnb,chi,12.92,8200,1
24,"Mayfield, Baker",cle, ten,12.4,7900,1
25,"Garoppolo, Jimmy",sfo,tam,11.44,7200,1
26,"Fitzpatrick, Ryan",mia, bal,11.2,6200,1
27,"Roethlisberger, Ben",pit,nwe,10.74,7600,1
28,"Goff, Jared",lar,car,10.44,7800,1
29,"Winston, Jameis",tam, sfo,10.06,7500,1
30,"Trubisky, Mitchell",chi, gnb,9.22,7200,1
31,"Griffin III, Robert",bal,mia,7.1,6000,1
32,"Foles, Nick",jac, kan,7,6500,1
33,"Newton, Cam",car, lar,6.36,7900,1
34,"Taylor, Tyrod",lac, ind,0,6000,1
35,"Rush, Cooper",dal, nyg,0,6000,1
36,"Moore, Matt",kan,jac,-0.1,6000,1
37,"Tannehill, Ryan",ten,cle,-0.2,6000,1
38,"Rosen, Josh",mia, bal,-0.8,6200,1
39,"Jones, Daniel",nyg,dal,-0.82,6000,1
40,"Mahomes II, Patrick",kan,oak,31.62,9000,2
41,"Jackson, Lamar",bal, ari,30.88,8200,2
42,"Prescott, Dak",dal,was,28.66,7700,2
43,"Brady, Tom",nwe,mia,24.66,7800,2
44,"Wilson, Russell",sea,pit,24.2,7600,2
45,"Garoppolo, Jimmy",sfo,cin,23.68,7000,2
46,"Allen, Josh",buf,nyg,22.22,7500,2
47,"Ryan, Matt",atl, phi,22.1,7900,2
48,"Dalton, Andy",cin, sfo,19.64,7100,2
49,"Wentz, Carson",phi,atl,19.54,7700,2
50,"Goff, Jared",lar, nor,19.12,7600,2
51,"Brissett, Jacoby",ind,ten,17.34,6000,2
52,"Stafford, Matthew",det, lac,17.1,7000,2
53,"Keenum, Case",was, dal,16.74,6900,2
54,"Flacco, Joe",den, chi,16.68,6400,2
55,"Murray, Kyler",ari,bal,16.36,6500,2
56,"Minshew, Gardner",jac,hou,16.12,6400,2
57,"Mayfield, Baker",cle,nyj,16,7500,2
58,"Rodgers, Aaron",gnb, min,14.36,8000,2
59,"Mariota, Marcus",ten, ind,13.36,7400,2
60,"Winston, Jameis",tam,car,13.22,7300,2
61,"Watson, Deshaun",hou, jac,12.86,8500,2
