,name,team,opponent,points,salary,week
0,"McCaffrey, Christian",car, lar,37.9,8900,1
1,"Ekeler, Austin",lac, ind,36.4,6400,1
2,"Henry, Derrick",ten,cle,28.4,6800,1
3,"Mack, Marlon",ind,lac,25.4,6900,1
4,"Cook, Dalvin",min, atl,25,7400,1
5,"Jacobs, Josh",oak, den,23.8,6500,1
6,"Johnson, David",ari, det,22.7,8100,1
7,"Ingram, Mark",bal,mia,22.7,6600,1
8,"Carson, Chris",sea, cin,21.1,6600,1
9,"Kamara, Alvin",nor, hou,20.4,8700,1
10,"Bell, Le'Veon",nyj, buf,20.2,7900,1
11,"Brown, Malcolm",lar,car,17.3,4900,1
12,"Barkley, Saquon",nyg,dal,15.9,9200,1
13,"Williams, Damien",kan,jac,15.5,6900,1
14,"Elliott, Ezekiel",dal, nyg,12.8,9100,1
15,"Singletary, Devin",buf,nyj,12.3,5300,1
16,"Murray, Latavius",nor, hou,11.7,5900,1
17,"Gallman, Wayne",nyg,dal,11.6,4500,1
18,"Thompson, Chris",was,phi,11.3,5100,1
19,"Burkhead, Rex",nwe, pit,11,4800,1
20,"Johnson, Duke",hou,nor,11,6100,1
21,"White, James",nwe, pit,10.7,6300,1
22,"Gurley, Todd",lar,car,10.6,7600,1
23,"Chubb, Nick",cle, ten,10,7400,1
24,"Jones, Ronald",tam, sfo,9.8,5600,1
25,"McCoy, LeSean",kan,jac,9.8,5800,1
26,"Sproles, Darren",phi, was,9.8,4600,1
27,"Fournette, Leonard",jac, kan,9.4,7200,1
28,"Hyde, Carlos",hou,nor,9,5400,1
29,"Cohen, Tarik",chi, gnb,8.9,6300,1
30,"Lindsay, Phillip",den,oak,8.6,6600,1
31,"Conner, James",pit,nwe,8.5,7700,1
32,"Hilliard, Dontrell",cle, ten,8.3,4800,1
33,"Bernard, Giovani",cin,sea,7.3,5200,1
34,"Johnson, Kerryon",det,ari,7.2,7000,1
35,"Coleman, Tevin",sfo,tam,6.6,6300,1
36,"Davis, Mike",chi, gnb,6.6,4900,1
37,"Jackson, Justin",lac, ind,6.6,5900,1
38,"Freeman, Royce",den,oak,6.6,5900,1
39,"Ricard, Patrick",bal,mia,6.6,4500,1
40,"Howard, Jordan",phi, was,6.5,5800,1
41,"Armah, Alex",car, lar,6.1,4500,1
42,"Edwards, Gus",bal,mia,5.6,4800,1
43,"Barber, Peyton",tam, sfo,5.5,5500,1
44,"Guice, Derrius",was,phi,5.3,5900,1
45,"Ogunbowale, Dare",tam, sfo,5.3,4500,1
46,"Montgomery, David",chi, gnb,5,6400,1
47,"Mattison, Alexander",min, atl,4.9,4900,1
48,"Johnson, D'Ernest",cle, ten,4.6,4500,1
49,"Mostert, Raheem",sfo,tam,4.5,4500,1
50,"Smith, Ito",atl,min,4.5,5400,1
51,"Jones, Aaron",gnb,chi,4.4,6800,1
52,"Hines, Nyheim",ind,lac,3.7,5300,1
53,"Breida, Matt",sfo,tam,3.7,5400,1
54,"Drake, Kenyan",mia, bal,3.7,6000,1
55,"Anderson, C.J.",det,ari,3.5,5300,1
56,"McKissic, J.D.",det,ari,3.4,4500,1
57,"Sanders, Miles",phi, was,3.2,6000,1
58,"Lewis, Dion",ten,cle,2.8,5600,1
59,"Hill, Justice",bal,mia,2.7,5000,1
60,"Mixon, Joe",cin,sea,2.7,7800,1
61,"Freeman, Devonta",atl,min,2.6,6700,1
62,"Williams, Jamaal",gnb,chi,2.5,5300,1
63,"Pollard, Tony",dal, nyg,2.4,5200,1
64,"Sherman, Anthony",kan,jac,2,4500,1
65,"Gore, Frank",buf,nyj,2,4900,1
66,"DiMarco, Patrick",buf,nyj,1.9,4500,1
67,"Penny, Rashaad",sea, cin,1.8,5900,1
68,"Ballage, Kalen",mia, bal,1.7,5700,1
69,"Michel, Sony",nwe, pit,1.4,6600,1
70,"Samuels, Jaylen",pit,nwe,1.1,5400,1
71,"Thompson, Darwin",kan,jac,0.8,4500,1
72,"Abdullah, Ameer",min, atl,0.8,4500,1
73,"Washington, DeAndre",oak, den,0.8,4500,1
74,"Bolden, Brandon",nwe, pit,0.7,4500,1
75,"Armstead, Ryquell",jac, kan,0.7,4500,1
76,"Johnson, Ty",det,ari,0.6,4500,1
77,"Bawden, Nick",det,ari,0.5,4500,1
78,"Edmonds, Chase",ari, det,0.5,5100,1
79,"Watt, Derek",lac, ind,0.4,4500,1
80,"Montgomery, Ty",nyj, buf,0.4,4900,1
81,"Penny, Elijhaa",nyg,dal,0.3,4500,1
82,"Richard, Jalen",oak, den,0.3,5100,1
83,"Walton, Mark",mia, bal,0.1,4500,1
84,"Boone, Mike",min, atl,0,4500,1
85,"Develin, James",nwe, pit,0,4500,1
86,"Washington, Dwayne",nor, hou,0,4500,1
87,"Bonnafon, Reggie",car, lar,0,4500,1
88,"Pope, Troymaine",lac, ind,0,4500,1
89,"Bellore, Nick",sea, cin,0,4500,1
90,"Ham, C.J.",min, atl,0,4500,1
91,"Smallwood, Wendell",was,phi,0,4700,1
92,"Line, Zach",nor, hou,0,4500,1
93,"Wilkins, Jordan",ind,lac,0,4600,1
94,"Gillaspia, Cullen",hou,nor,0,4500,1
95,"Foster, D.J.",ari, det,0,4500,1
96,"Cox, Chandler",mia, bal,0,4500,1
97,"Chunn, Jordan",dal, nyg,0,4500,1
98,"Barner, Kenjon",atl,min,0,4500,1
99,"Williams, Darrel",kan,jac,0,4800,1
100,"Howell, Buddy",hou,nor,0,4500,1
101,"Booker, Devontae",den,oak,0,4500,1
102,"Homer, Travis",sea, cin,0,4500,1
103,"Smith, Keith",atl,min,0,4500,1
104,"Nix, Roosevelt",pit,nwe,0,4500,1
105,"Ervin, Tyler",jac, kan,0,4500,1
106,"Jones, Taiwan",hou,nor,0,4500,1
107,"Prosise, C.J.",sea, cin,0,4500,1
108,"Perine, Samaje",cin,sea,0,4500,1
109,"Snell, Benny",pit,nwe,0,4500,1
110,"Scarlett, Jordan",car, lar,0,4700,1
111,"Ingold, Alec",oak, den,0,4500,1
112,"Henderson, Darrell",lar,car,0,5400,1
113,"Clement, Corey",phi, was,0,4500,1
114,"Yeldon, T.J.",buf,nyj,0,4600,1
115,"Fluellen, David",ten,cle,0,4500,1
116,"Logan, T.J.",tam, sfo,0,4500,1
117,"Juszczyk, Kyle",sfo,tam,0,4600,1
118,"Olawale, Jamize",dal, nyg,0,4500,1
119,"Cannon, Trenton",nyj, buf,0,4600,1
120,"Vitale, Dan",gnb,chi,0,4500,1
121,"Cook, Dalvin",min,gnb,26.6,7900,2
122,"Jones, Aaron",gnb, min,23,6400,2
123,"Mostert, Raheem",sfo,cin,22.6,5600,2
124,"Barkley, Saquon",nyg, buf,21,9200,2
125,"Ekeler, Austin",lac,det,20.3,7500,2
126,"Elliott, Ezekiel",dal,was,19,8500,2
127,"Chubb, Nick",cle,nyj,17.8,7300,2
128,"Henry, Derrick",ten, ind,16.3,7500,2
129,"Bell, Le'Veon",nyj, cle,15.9,7900,2
130,"Johnson, Kerryon",det, lac,15.8,6600,2
131,"Wilson Jr., Jeff",sfo,cin,15.4,4500,2
132,"Barber, Peyton",tam,car,15.4,5400,2
133,"Gore, Frank",buf,nyg,15.3,4900,2
134,"Gurley, Todd",lar, nor,14.2,7000,2
135,"Breida, Matt",sfo,cin,13.7,5600,2
136,"Montgomery, David",chi,den,13.3,5800,2
137,"Penny, Rashaad",sea,pit,13,5100,2
138,"Freeman, Royce",den, chi,12.7,5900,2
139,"Michel, Sony",nwe,mia,12.5,6800,2
140,"Conner, James",pit, sea,12,7700,2
141,"Singletary, Devin",buf,nyg,11.7,5700,2
142,"Williams, Jamaal",gnb, min,11.6,4800,2
143,"Fournette, Leonard",jac,hou,10.7,6900,2
144,"White, James",nwe,mia,10.4,6300,2
145,"Peterson, Adrian",was, dal,10.2,4800,2
146,"Jacobs, Josh",oak, kan,9.9,6500,2
147,"Wilkins, Jordan",ind,ten,9.1,4600,2
148,"Hyde, Carlos",hou, jac,9,5400,2
149,"Ingram, Mark",bal, ari,8.7,7500,2
150,"Lindsay, Phillip",den, chi,8.6,6600,2
151,"Carson, Chris",sea,pit,8.2,7400,2
152,"Johnson, David",ari,bal,7.9,7300,2
153,"Freeman, Devonta",atl, phi,7.9,6200,2
154,"Burkhead, Rex",nwe,mia,7.8,4600,2
155,"Thompson, Chris",was, dal,7.6,5300,2
156,"Mack, Marlon",ind,ten,7.3,7400,2
157,"Drake, Kenyan",mia, nwe,7.3,5500,2
158,"Williams, Damien",kan,oak,7.1,6600,2
159,"Jackson, Justin",lac,det,6.9,6100,2
160,"Kamara, Alvin",nor,lar,6.5,8700,2
161,"Johnson, D'Ernest",cle,nyj,6.5,4700,2
162,"McCaffrey, Christian",car, tam,6.3,9200,2
163,"Smith, Ito",atl, phi,5.5,5300,2
164,"Montgomery, Ty",nyj, cle,5.5,4600,2
165,"Sanders, Miles",phi,atl,5.2,5400,2
166,"Brown, Malcolm",lar, nor,5.2,5500,2
167,"Johnson, Ty",det, lac,4.6,4500,2
168,"Washington, DeAndre",oak, kan,4.5,4500,2
169,"Mixon, Joe",cin, sfo,4.2,7500,2
170,"McCoy, LeSean",kan,oak,3.8,5800,2
171,"Samuels, Jaylen",pit, sea,3.6,5400,2
172,"Cohen, Tarik",chi,den,3.5,6100,2
173,"Prosise, C.J.",sea,pit,3.5,4500,2
174,"Walton, Mark",mia, nwe,3.2,4500,2
175,"Howard, Jordan",phi,atl,3.1,5600,2
176,"Johnson, Duke",hou, jac,3.1,6100,2
177,"Pollard, Tony",dal,was,3,4800,2
178,"Murray, Latavius",nor,lar,2.8,5900,2
179,"Edmonds, Chase",ari,bal,2.7,5100,2
180,"Mattison, Alexander",min,gnb,2.5,4900,2
181,"Smallwood, Wendell",was, dal,2.3,4500,2
182,"Snell, Benny",pit, sea,2.3,4500,2
183,"Hines, Nyheim",ind,ten,1.9,5300,2
184,"Hill, Justice",bal, ari,1.9,4900,2
185,"Lewis, Dion",ten, ind,1.9,5200,2
186,"Bernard, Giovani",cin, sfo,1.8,5700,2
187,"Ballage, Kalen",mia, nwe,1.7,5100,2
188,"Juszczyk, Kyle",sfo,cin,1.6,4600,2
189,"Richard, Jalen",oak, kan,1.5,5100,2
190,"Sproles, Darren",phi,atl,1.5,4600,2
191,"Ogunbowale, Dare",tam,car,1.4,4500,2
192,"Edwards, Gus",bal, ari,1.1,5200,2
193,"Jones, Ronald",tam,car,0.9,5500,2
194,"DiMarco, Patrick",buf,nyg,0.9,0,2
195,"Anderson, C.J.",det, lac,0.8,4900,2
196,"Watt, Derek",lac,det,0.8,4500,2
197,"Ricard, Patrick",bal, ari,0.8,0,2
198,"Develin, James",nwe,mia,0.3,4500,2
199,"Abdullah, Ameer",min,gnb,0.2,4500,2
200,"McKissic, J.D.",det, lac,0.2,4500,2
201,"Thompson, Darwin",kan,oak,0.1,4500,2
202,"Davis, Mike",chi,den,0.1,4900,2
203,"Boone, Mike",min,gnb,0,4500,2
204,"Washington, Dwayne",nor,lar,0,4500,2
205,"Bonnafon, Reggie",car, tam,0,4500,2
206,"Bellore, Nick",sea,pit,0,4500,2
207,"Ham, C.J.",min,gnb,0,4500,2
208,"Line, Zach",nor,lar,0,4500,2
209,"Bawden, Nick",det, lac,0,4500,2
210,"Gillaspia, Cullen",hou, jac,0,4500,2
211,"Foster, D.J.",ari,bal,0,4500,2
212,"Cox, Chandler",mia, nwe,0,4500,2
213,"Penny, Elijhaa",nyg, buf,0,4500,2
214,"Barner, Kenjon",atl, phi,0,4500,2
215,"Williams, Darrel",kan,oak,0,4600,2
216,"Sherman, Anthony",kan,oak,0,4500,2
217,"Howell, Buddy",hou, jac,0,4500,2
218,"Booker, Devontae",den, chi,0,4500,2
219,"Homer, Travis",sea,pit,0,4500,2
220,"Armah, Alex",car, tam,0,4500,2
221,"Ervin, Tyler",jac,hou,0,4500,2
222,"Armstead, Ryquell",jac,hou,0,4500,2
223,"Perine, Samaje",cin, sfo,0,4500,2
224,"Ingold, Alec",oak, kan,0,4500,2
225,"Yeldon, T.J.",buf,nyg,0,4600,2
226,"Logan, T.J.",tam,car,0,4500,2
227,"Olawale, Jamize",dal,was,0,4500,2
228,"Cannon, Trenton",nyj, cle,0,4600,2
229,"Gallman, Wayne",nyg, buf,0,4500,2
230,"Vitale, Dan",gnb, min,0,4500,2
231,"Clement, Corey",phi,atl,-2,4500,2
232,"Ingram, Mark",bal,kan,33.5,7100,3
233,"Kamara, Alvin",nor,sea,32.6,8000,3
234,"Lindsay, Phillip",den,gnb,27,6400,3
235,"McCaffrey, Christian",car,ari,26.3,8900,3
236,"Cook, Dalvin",min, oak,22.3,8300,3
237,"McCoy, LeSean",kan, bal,21.5,5500,3
238,"Pollard, Tony",dal, mia,20.3,5000,3
239,"Mixon, Joe",cin,buf,16.5,6500,3
240,"Burkhead, Rex",nwe, nyj,15.9,4600,3
241,"Gore, Frank",buf, cin,15.9,5700,3
242,"Mack, Marlon",ind, atl,15.8,7000,3
243,"Johnson, David",ari, car,15.5,7000,3
244,"Chubb, Nick",cle, lar,15.1,7300,3
245,"Elliott, Ezekiel",dal, mia,14.9,8800,3
246,"Jones, Aaron",gnb, den,14.8,6900,3
247,"Wilson Jr., Jeff",sfo, pit,13.8,5300,3
248,"Williams, Darrel",kan, bal,13.4,4600,3
249,"Thompson, Chris",was, chi,12.8,5300,3
250,"Jones, Ronald",tam, nyg,12.6,4900,3
251,"Fournette, Leonard",jac, ten,12.2,6600,3
252,"Mattison, Alexander",min, oak,11.8,4900,3
253,"Sanders, Miles",phi, det,11.6,5400,3
254,"Ekeler, Austin",lac, hou,11.6,7600,3
255,"Henry, Derrick",ten,jac,11.1,7300,3
256,"Freeman, Devonta",atl,ind,11,6200,3
257,"Johnson, Kerryon",det,phi,10.8,6600,3
258,"Breida, Matt",sfo, pit,9.8,5900,3
259,"Howard, Jordan",phi, det,9.7,5600,3
260,"Williams, Jamaal",gnb, den,9.6,5100,3
261,"Montgomery, David",chi,was,9.6,6000,3
262,"Freeman, Royce",den,gnb,9.3,5900,3
263,"Bell, Le'Veon",nyj,nwe,8.3,7700,3
264,"Hyde, Carlos",hou,lac,7.9,6000,3
265,"Edwards, Gus",bal,kan,7.8,5000,3
266,"Michel, Sony",nwe, nyj,7.1,6800,3
267,"Prosise, C.J.",sea, nor,6.8,4500,3
268,"Drake, Kenyan",mia,dal,6.7,5300,3
269,"Juszczyk, Kyle",sfo, pit,6.6,4500,3
270,"Barber, Peyton",tam, nyg,6.5,6100,3
271,"Mostert, Raheem",sfo, pit,5.9,6000,3
272,"Conner, James",pit,sfo,5.7,7400,3
273,"Barkley, Saquon",nyg,tam,5.7,9200,3
274,"Jackson, Justin",lac, hou,5,5800,3
275,"Hines, Nyheim",ind, atl,4.4,4800,3
276,"Richard, Jalen",oak,min,4.4,5100,3
277,"Jacobs, Josh",oak,min,4.4,6500,3
278,"McKissic, J.D.",det,phi,4.4,4500,3
279,"Gurley, Todd",lar,cle,4.3,6800,3
280,"Peterson, Adrian",was, chi,3.9,5500,3
281,"Yeldon, T.J.",buf, cin,3.9,4600,3
282,"Ogunbowale, Dare",tam, nyg,3.8,4500,3
283,"Carson, Chris",sea, nor,3.6,7000,3
284,"Cohen, Tarik",chi,was,3.4,5800,3
285,"Johnson, Duke",hou,lac,3.4,5400,3
286,"Ballage, Kalen",mia,dal,3.2,4900,3
287,"Vitale, Dan",gnb, den,3.2,4500,3
288,"Edmonds, Chase",ari, car,3,4900,3
289,"Bolden, Brandon",nwe, nyj,2.9,4500,3
290,"Boone, Mike",min, oak,2.8,4500,3
291,"Lewis, Dion",ten,jac,2.5,5000,3
292,"Bernard, Giovani",cin,buf,2.2,5200,3
293,"Washington, DeAndre",oak,min,2.2,4500,3
294,"Bawden, Nick",det,phi,1.5,4500,3
295,"Gallman, Wayne",nyg,tam,1.3,4500,3
296,"Armah, Alex",car,ari,1.1,4500,3
297,"Johnson, Ty",det,phi,1,4500,3
298,"Barner, Kenjon",atl,ind,0.9,4500,3
299,"Thompson, Darwin",kan, bal,0.8,4500,3
300,"Brown, Malcolm",lar,cle,0.7,5500,3
301,"Snell, Benny",pit,sfo,0.6,4500,3
302,"Bonnafon, Reggie",car,ari,0.5,4500,3
303,"Ham, C.J.",min, oak,0.5,4500,3
304,"Sproles, Darren",phi, det,0.4,4600,3
305,"Davis, Mike",chi,was,0.2,4900,3
