,name,team,opponent,points,salary,week
0,"Watkins, Sammy",kan,jac,42.3,6300,1
1,"Jackson, DeSean",phi, was,31.4,5600,1
2,"Ross, John",cin,sea,31.3,5400,1
3,"Brown, Marquise",bal,mia,28.7,5000,1
4,"Hopkins, DeAndre",hou,nor,27.1,9000,1
5,"Hilton, T.Y.",ind,lac,24.7,7700,1
6,"Dorsett, Phillip",nwe, pit,23.5,4900,1
7,"Chark, D.J.",jac, kan,22.6,4900,1
8,"Allen, Keenan",lac, ind,22.3,7700,1
9,"Brown, John",buf,nyj,21.8,5500,1
10,"Fitzgerald, Larry",ari, det,21.3,5900,1
11,"McLaurin, Terry",was,phi,21,4500,1
12,"Amendola, Danny",det,ari,19.9,4900,1
13,"Jeffery, Alshon",phi, was,19.6,6700,1
14,"Cooper, Amari",dal, nyg,19.6,7500,1
15,"Williams, Tyrell",oak, den,19.5,5400,1
16,"Gallup, Michael",dal, nyg,19.3,5600,1
17,"Conley, Chris",jac, kan,18.7,4500,1
18,"Thomas, Michael",nor, hou,17.3,8500,1
19,"Crowder, Jamison",nyj, buf,17.3,5400,1
20,"Sanders, Emmanuel",den,oak,17.1,5600,1
21,"Sutton, Courtland",den,oak,15.5,5900,1
22,"Cobb, Randall",dal, nyg,14.9,5000,1
23,"Gordon, Josh",nwe, pit,14.8,6300,1
24,"Ridley, Calvin",atl,min,14.4,6500,1
25,"Robinson, Allen",chi, gnb,13.7,6500,1
26,"Ginn Jr., Ted",nor, hou,13.6,5000,1
27,"Edelman, Julian",nwe, pit,13.38,7100,1
28,"Godwin, Chris",tam, sfo,12.8,6900,1
29,"Woods, Robert",lar,car,12.6,7000,1
30,"Golladay, Kenny",det,ari,12.2,6900,1
31,"Jones, Julio",atl,min,12.1,8500,1
32,"Thielen, Adam",min, atl,11.8,7400,1
33,"Westbrook, Dede",jac, kan,11.7,5900,1
34,"Brown, A.J.",ten,cle,11.5,5100,1
35,"Quinn, Trey",was,phi,11.3,4900,1
36,"Stills, Kenny",hou,nor,11.2,5800,1
37,"Snead, Willie",bal,mia,11.1,4800,1
38,"Lockett, Tyler",sea, cin,10.9,6800,1
39,"Metcalf, D.K.",sea, cin,10.9,5500,1
40,"Smith-Schuster, JuJu",pit,nwe,10.8,8100,1
41,"Beckham Jr., Odell",cle, ten,10.6,8200,1
42,"James, Richie",sfo,tam,10.4,4500,1
43,"Boyd, Tyler",cin,sea,10.3,6900,1
44,"Williams, Preston",mia, bal,9.9,4500,1
45,"Landry, Jarvis",cle, ten,9.7,6300,1
46,"Smith, Tre'Quan",nor, hou,9.6,5200,1
47,"Moore, D.J.",car, lar,9.1,6200,1
48,"Parker, DeVante",mia, bal,9,5300,1
49,"Latimer, Cody",nyg,dal,8.9,5500,1
50,"Kirk, Christian",ari, det,8.4,6000,1
51,"Hill, Taysom",nor, hou,8.2,6100,1
52,"Sanu, Mohamed",atl,min,8.2,5300,1
53,"Kupp, Cooper",lar,car,8.1,6800,1
54,"Jones, Marvin",det,ari,8,6100,1
55,"Fuller, Will",hou,nor,7.9,6100,1
56,"Shepard, Sterling",nyg,dal,7.2,6000,1
57,"Valdes-Scantling, Marquez",gnb,chi,7.2,5900,1
58,"Johnson, KeeSean",ari, det,7.1,4900,1
59,"Boykin, Miles",bal,mia,7,4500,1
60,"Fowler, Bennie",nyg,dal,6.5,4500,1
61,"Beasley, Cole",buf,nyj,6.5,4800,1
62,"Byrd, Damiere",ari, det,6.2,4500,1
63,"Washington, James",pit,nwe,6.1,5500,1
64,"Hardy, Justin",atl,min,6.1,4500,1
65,"Switzer, Ryan",pit,nwe,5.9,4500,1
66,"Higgins, Rashard",cle, ten,5.6,4500,1
67,"Adams, Davante",gnb,chi,5.6,8700,1
68,"Richardson, Paul",was,phi,5.6,4900,1
69,"Cooks, Brandin",lar,car,4.9,7000,1
70,"Diggs, Stefon",min, atl,4.7,7200,1
71,"Samuel, Curtis",car, lar,4.7,5900,1
72,"Funchess, Devin",ind,lac,4.7,5600,1
73,"Willis, Damion",cin,sea,4.5,4500,1
74,"Cain, Deon",ind,lac,4.5,4500,1
75,"Harmon, Kelvin",was,phi,4.1,4500,1
76,"Johnson, Diontae",pit,nwe,4,4500,1
77,"Williams, Mike",lac, ind,3.9,6400,1
78,"Anderson, Robby",nyj, buf,3.8,6300,1
79,"Evans, Mike",tam, sfo,3.8,7900,1
80,"Gabriel, Taylor",chi, gnb,3.4,5100,1
81,"Davis, Trevor",oak, den,3.3,4500,1
82,"Samuel, Deebo",sfo,tam,3.2,5200,1
