,Player Id,name,Position,Year,Season,week,Game Date,Home or Away,opponent,Outcome,Score,Games Played,Games Started,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Fumbles,Fumbles Lost,Unnamed: 0,team,points,salary,Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Number,Weight (lbs),Years Played
0,dwaynewashington/2556118,"Washington, Dwayne",RB,2019,Regular Season,3,09/22,Away,SEA,W,33 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--,310,nor,0.0,4500,25.0,"Claremont , CA",4/24/1994,Washington,Active,New Orleans Saints,4th season,73.0,Gahr HS,"Cerritos, CA",27.0,223.0,
1,dwaynewashington/2556118,"Washington, Dwayne",RB,2019,Regular Season,7,10/20,Away,CHI,W,36 to 25,1,0,--,--,--,--,--,1,6,6.0,6,0,--,--,709,nor,1.1,4500,25.0,"Claremont , CA",4/24/1994,Washington,Active,New Orleans Saints,4th season,73.0,Gahr HS,"Cerritos, CA",27.0,223.0,
2,alexarmah/2558833,"Armah, Alex",FB,2019,Regular Season,3,09/22,Away,ARI,W,38 to 20,1,0,1,4,4.0,4,0,1,2,2.0,2,0,--,--,296,car,1.1,4500,25.0,"Norcross , GA",5/17/1994,West Georgia,Active,Carolina Panthers,3rd season,74.0,Dacula HS,GA,40.0,255.0,
3,alexarmah/2558833,"Armah, Alex",FB,2019,Regular Season,4,09/29,Away,HOU,W,16 to 10,1,0,--,--,--,--,--,--,--,--,--,--,--,--,429,car,0.0,4500,25.0,"Norcross , GA",5/17/1994,West Georgia,Active,Carolina Panthers,3rd season,74.0,Dacula HS,GA,40.0,255.0,
4,dukejohnson/2552461,"Johnson, Duke",RB,2019,Regular Season,3,09/22,Away,LAC,W,27 to 20,1,0,2,2,1.0,1,0,2,22,11.0,15,0,--,--,285,hou,3.4,5400,26.0,"Miami , FL",9/23/1993,Miami (Fla.),Active,Houston Texans,5th season,69.0,Miami Norland HS,FL,25.0,210.0,
5,dukejohnson/2552461,"Johnson, Duke",RB,2019,Regular Season,7,10/20,Away,IND,L,23 to 30,1,1,7,34,4.9,11,0,2,22,11.0,12,0,--,--,675,hou,6.6,5400,26.0,"Miami , FL",9/23/1993,Miami (Fla.),Active,Houston Texans,5th season,69.0,Miami Norland HS,FL,25.0,210.0,
6,derrickhenry/2556075,"Henry, Derrick",RB,2019,Regular Season,1,09/08,Away,CLE,W,43 to 13,1,1,19,84,4.4,18,1,1,75,75.0,75T,1,--,--,2,ten,28.4,6800,25.0,"Yulee , FL",1/4/1994,Alabama,Active,Tennessee Titans,4th season,75.0,Yulee HS,FL,22.0,247.0,
7,derrickhenry/2556075,"Henry, Derrick",RB,2019,Regular Season,4,09/29,Away,ATL,W,24 to 10,1,1,27,100,3.7,16,0,1,8,8.0,8,0,1,0,360,ten,11.3,7000,25.0,"Yulee , FL",1/4/1994,Alabama,Active,Tennessee Titans,4th season,75.0,Yulee HS,FL,22.0,247.0,
8,derrickhenry/2556075,"Henry, Derrick",RB,2019,Regular Season,6,10/13,Away,DEN,L,0 to 16,1,1,15,28,1.9,6,0,1,5,5.0,5,0,--,--,589,ten,3.8,6700,25.0,"Yulee , FL",1/4/1994,Alabama,Active,Tennessee Titans,4th season,75.0,Yulee HS,FL,22.0,247.0,
9,patrickdimarco/2530763,"DiMarco, Patrick",RB,2019,Regular Season,1,09/08,Away,NYJ,W,17 to 16,1,1,--,--,--,--,--,2,9,4.5,5,0,--,--,66,buf,1.9,4500,30.0,"Altamonte Springs , FL",4/30/1989,South Carolina,Active,Buffalo Bills,8th season,73.0,Lake Brantley HS,"Altamonte Springs, FL",42.0,234.0,
10,patrickdimarco/2530763,"DiMarco, Patrick",RB,2019,Regular Season,2,09/15,Away,NYG,W,28 to 14,1,0,1,1,1.0,1,0,1,3,3.0,3,0,--,--,194,buf,0.9,0,30.0,"Altamonte Springs , FL",4/30/1989,South Carolina,Active,Buffalo Bills,8th season,73.0,Lake Brantley HS,"Altamonte Springs, FL",42.0,234.0,
11,j.d.mckissic/2556440,"McKissic, J.D.",RB,2019,Regular Season,1,09/08,Away,ARI,T,27 to 27,1,0,--,--,--,--,--,2,24,12.0,12,0,--,--,56,det,3.4,4500,26.0,"Phenix City , AL",8/15/1993,Arkansas State,Active,Detroit Lions,3rd season,70.0,Central HS,"Phenix City, AL",41.0,195.0,
12,j.d.mckissic/2556440,"McKissic, J.D.",RB,2019,Regular Season,3,09/22,Away,PHI,W,27 to 24,1,0,1,44,44.0,44,0,--,--,--,--,--,--,--,278,det,4.4,4500,26.0,"Phenix City , AL",8/15/1993,Arkansas State,Active,Detroit Lions,3rd season,70.0,Central HS,"Phenix City, AL",41.0,195.0,
13,nickchubb/2561021,"Chubb, Nick",RB,2019,Regular Season,2,09/16,Away,NYJ,W,23 to 3,1,1,18,62,3.4,19T,1,4,36,9.0,13,0,--,--,127,cle,17.8,7300,23.0,"Chattanooga , TN",12/27/1995,Georgia,Active,Cleveland Browns,2nd season,71.0,Cedartown HS,GA,24.0,227.0,
14,nickchubb/2561021,"Chubb, Nick",RB,2019,Regular Season,4,09/29,Away,BAL,W,40 to 25,1,1,20,165,8.3,88T,3,3,18,6.0,10,0,--,--,338,cle,37.8,7300,23.0,"Chattanooga , TN",12/27/1995,Georgia,Active,Cleveland Browns,2nd season,71.0,Cedartown HS,GA,24.0,227.0,
15,kerryonjohnson/2560765,"Johnson, Kerryon",RB,2019,Regular Season,1,09/08,Away,ARI,T,27 to 27,1,1,16,49,3.1,9,0,2,13,6.5,7,0,--,--,34,det,7.2,7000,22.0,"Tallahassee , FL",6/30/1997,Auburn,Injured reserve,Detroit Lions,2nd season,71.0,Madison Academy HS,AL,33.0,211.0,
16,kerryonjohnson/2560765,"Johnson, Kerryon",RB,2019,Regular Season,3,09/22,Away,PHI,W,27 to 24,1,1,20,36,1.8,11,1,1,7,7.0,7,0,--,--,257,det,10.8,6600,22.0,"Tallahassee , FL",6/30/1997,Auburn,Injured reserve,Detroit Lions,2nd season,71.0,Madison Academy HS,AL,33.0,211.0,
17,derriusguice/2561000,"Guice, Derrius",RB,2019,Regular Season,1,09/08,Away,PHI,L,27 to 32,1,1,10,18,1.8,5,0,3,20,6.7,8,0,--,--,44,was,5.3,5900,22.0,USA,6/21/1997,LSU,Active,Washington Redskins,2nd season,71.0,Catholic HS,"Baton Rouge, LA",29.0,225.0,
18,javoriusallen/2552631,"Allen, Javorius",RB,2019,Regular Season,8,10/27,Away,DET,L,26 to 31,1,0,--,--,--,--,--,--,--,--,--,--,--,--,840,nyg,0.0,4700,28.0,"Tallahassee , FL",8/27/1991,USC,Active,New York Giants,5th season,72.0,Lincoln HS,"Tallahasse, FL",37.0,218.0,
19,toddgurley/2552475,"Gurley, Todd",RB,2019,Regular Season,1,09/08,Away,CAR,W,30 to 27,1,1,14,97,6.9,25,0,1,4,4.0,4,0,--,--,22,lar,10.6,7600,25.0,"Baltimore , MD",8/3/1994,Georgia,Active,Los Angeles Rams,5th season,73.0,Tarboro HS,NC,30.0,224.0,
20,toddgurley/2552475,"Gurley, Todd",RB,2019,Regular Season,3,09/22,Away,CLE,W,20 to 13,1,1,14,43,3.1,9,0,0,0,--,--,0,--,--,279,lar,4.3,6800,25.0,"Baltimore , MD",8/3/1994,Georgia,Active,Los Angeles Rams,5th season,73.0,Tarboro HS,NC,30.0,224.0,
21,toddgurley/2552475,"Gurley, Todd",RB,2019,Regular Season,5,10/03,Away,SEA,L,29 to 30,1,1,15,51,3.4,12,2,3,6,2.0,3,0,1,1,450,lar,17.2,6700,25.0,"Baltimore , MD",8/3/1994,Georgia,Active,Los Angeles Rams,5th season,73.0,Tarboro HS,NC,30.0,224.0,
22,toddgurley/2552475,"Gurley, Todd",RB,2019,Regular Season,7,10/20,Away,ATL,W,37 to 10,1,1,18,41,2.3,10,0,1,13,13.0,13T,1,--,--,657,lar,11.9,7100,25.0,"Baltimore , MD",8/3/1994,Georgia,Active,Los Angeles Rams,5th season,73.0,Tarboro HS,NC,30.0,224.0,
23,carloshyde/2543743,"Hyde, Carlos",RB,2019,Regular Season,3,09/22,Away,LAC,W,27 to 20,1,1,10,19,1.9,10,1,--,--,--,--,--,--,--,264,hou,7.9,6000,29.0,"Cincinnati , OH",9/20/1990,Ohio State,Active,Houston Texans,6th season,72.0,Princeton HS,"Cincinnati, OH",23.0,229.0,
24,carloshyde/2543743,"Hyde, Carlos",RB,2019,Regular Season,7,10/20,Away,IND,L,23 to 30,1,0,12,35,2.9,10,0,0,0,--,--,0,--,--,690,hou,3.5,6300,29.0,"Cincinnati , OH",9/20/1990,Ohio State,Active,Houston Texans,6th season,72.0,Princeton HS,"Cincinnati, OH",23.0,229.0,
25,jamaalwilliams/2558204,"Williams, Jamaal",RB,2019,Regular Season,1,09/05,Away,CHI,W,10 to 3,1,0,5,0,0.0,5,0,2,15,7.5,10,0,--,--,62,gnb,2.5,5300,24.0,"Rialto , CA",4/3/1995,Brigham Young,Active,Green Bay Packers,3rd season,72.0,Summit HS,"Fontana, CA",30.0,213.0,
26,darrellhenderson/2562574,"Henderson, Darrell",RB,2019,Regular Season,1,09/08,Away,CAR,W,30 to 27,1,0,1,0,0.0,0,0,--,--,--,--,--,--,--,112,lar,0.0,5400,22.0,"Batesville , MS",8/19/1997,Memphis,Active,Los Angeles Rams,Rookie,68.0,South Panola HS,"Batesville, MS",27.0,208.0,
27,darrellhenderson/2562574,"Henderson, Darrell",RB,2019,Regular Season,5,10/03,Away,SEA,L,29 to 30,1,0,--,--,--,--,--,--,--,--,--,--,--,--,539,lar,0.0,4500,22.0,"Batesville , MS",8/19/1997,Memphis,Active,Los Angeles Rams,Rookie,68.0,South Panola HS,"Batesville, MS",27.0,208.0,
28,darrellhenderson/2562574,"Henderson, Darrell",RB,2019,Regular Season,7,10/20,Away,ATL,W,37 to 10,1,0,11,31,2.8,9,0,1,8,8.0,8,0,--,--,684,lar,4.4,5200,22.0,"Batesville , MS",8/19/1997,Memphis,Active,Los Angeles Rams,Rookie,68.0,South Panola HS,"Batesville, MS",27.0,208.0,
29,darrelwilliams/2560935,"Williams, Darrel",RB,2019,Regular Season,2,09/15,Away,OAK,W,28 to 10,1,0,--,--,--,--,--,--,--,--,--,--,--,--,215,kan,0.0,4600,24.0,"Marrero , LA",4/15/1995,LSU,Active,Kansas City Chiefs,2nd season,71.0,John Ehret HS,"Marrero, LA",31.0,224.0,
