,name,team,opponent,points,salary,week
0,"Engram, Evan",nyg,dal,23.1,6400,1
1,"Hockenson, T.J.",det,ari,22.1,4900,1
2,"Andrews, Mark",bal,mia,20.8,5400,1
3,"Walker, Delanie",ten,cle,20,5400,1
4,"Davis, Vernon",was,phi,13.9,4000,1
5,"Hooper, Austin",atl,min,12.2,5500,1
6,"Njoku, David",cle, ten,11.7,5800,1
7,"Jarwin, Blake",dal, nyg,11.4,4000,1
8,"Graham, Jimmy",gnb,chi,10.5,5100,1
9,"Waller, Darren",oak, den,10.5,4800,1
10,"Kelce, Travis",kan,jac,10.3,7800,1
11,"Higbee, Tyler",lar,car,10,4000,1
12,"Kittle, George",sfo,tam,9.4,7300,1
13,"Witten, Jason",dal, nyg,9,4700,1
14,"Uzomah, C.J.",cin,sea,8.6,4300,1
15,"Henry, Hunter",lac, ind,8,6100,1
16,"Ertz, Zach",phi, was,7.9,7100,1
17,"Olsen, Greg",car, lar,5.6,5200,1
18,"Hurst, Hayden",bal,mia,5.6,4400,1
19,"Eifert, Tyler",cin,sea,5.2,5200,1
20,"O'Shaughnessy, James",jac, kan,5.2,4000,1
21,"McDonald, Vance",pit,nwe,5,5600,1
22,"Cook, Jared",nor, hou,4.7,6000,1
23,"Sweeney, Tommy",buf,nyj,4.5,4000,1
24,"Gesicki, Mike",mia, bal,4.1,4900,1
25,"Boyle, Nick",bal,mia,4.1,4000,1
26,"Swaim, Geoff",jac, kan,3.7,4500,1
27,"Fant, Noah",den,oak,3.4,4900,1
28,"Tonyan, Robert",gnb,chi,3.3,4000,1
29,"Howard, O.J.",tam, sfo,3.2,6500,1
30,"Moreau, Foster",oak, den,3,4000,1
31,"Goedert, Dallas",phi, was,2.6,5000,1
32,"Vannett, Nick",sea, cin,2.6,4800,1
33,"Doyle, Jack",ind,lac,2.5,5400,1
34,"Griffin, Ryan",nyj, buf,2.5,4000,1
35,"Lewis, Marcedes",gnb,chi,2.4,4000,1
36,"Akins, Jordan",hou,nor,2.2,4100,1
37,"Smith, Jonnu",ten,cle,2.2,4000,1
38,"James, Jesse",det,ari,2,4000,1
39,"Williams, Maxx",ari, det,2,4100,1
40,"Brate, Cameron",tam, sfo,1.8,4800,1
41,"Dissly, Will",sea, cin,1.7,4000,1
42,"Sprinkle, Jeremy",was,phi,1.3,4000,1
43,"Ellison, Rhett",nyg,dal,1.3,4000,1
44,"Ebron, Eric",ind,lac,1.3,5900,1
45,"Everett, Gerald",lar,car,1.2,4900,1
46,"Bell, Blake",kan,jac,1.2,4000,1
47,"Shaheen, Adam",chi, gnb,1.1,4000,1
48,"Clay, Charles",ari, det,1,4200,1
49,"Green, Virgil",lac, ind,0.9,4000,1
50,"Izzo, Ryan",nwe, pit,0.8,4000,1
51,"Alie-Cox, Mo",ind,lac,0.8,4000,1
52,"Knox, Dawson",buf,nyj,0.6,4600,1
53,"Hill, Josh",nor, hou,0.3,4000,1
54,"Firkser, Anthony",ten,cle,0,4000,1
55,"Rudolph, Kyle",min, atl,0,5100,1
56,"Manhertz, Chris",car, lar,0,4000,1
57,"Fells, Darren",hou,nor,0,4000,1
58,"Beck, Andrew",den,oak,0,4000,1
59,"Thomas, Logan",det,ari,0,4000,1
60,"Auclair, Antony",tam, sfo,0,4000,1
61,"Winchester, James",kan,jac,0,4000,1
62,"Carter, Cethan",cin,sea,0,4000,1
63,"Schultz, Dalton",dal, nyg,0,4000,1
64,"Brown, Pharaoh",cle, ten,0,4000,1
65,"Thomas, Ian",car, lar,0,4600,1
66,"O'Leary, Nick",mia, bal,0,4000,1
67,"Tomlinson, Eric",nyg,dal,0,4000,1
68,"Carrier, Derek",oak, den,0,4000,1
69,"Harris, Demetrius",cle, ten,0,4000,1
