,Player Id,name,Position,Year,Season,week,Game Date,Home or Away,opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost,Unnamed: 0,team,points,salary,Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Number,Weight (lbs),Years Played
0,trevonwesco/2562777,"Wesco, Trevon",TE,2019,Regular Season,5,10/06,Away,PHI,L,6 to 31,1,1,--,--,--,--,--,--,--,--,--,--,--,--,425,nyj,0.0,4500,24.0,"Martinsburg , WV",9/12/1995,West Virginia,Active,New York Jets,Rookie,75.0,Musselman HS,"Inwood, WV",85.0,267.0,
1,levinetoilolo/2540203,"Toilolo, Levine",TE,2019,Regular Season,2,09/15,Away,CIN,W,41 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--,169,sfo,0.0,4000,28.0,"San Diego , CA",7/30/1991,Stanford,Active,San Francisco 49ers,7th season,80.0,Helix HS,"La Mesa, CA",83.0,268.0,
2,levinetoilolo/2540203,"Toilolo, Levine",TE,2019,Regular Season,7,10/20,Away,WAS,W,9 to 0,1,0,1,2,2.0,2,0,--,--,--,--,--,--,--,546,sfo,0.7,4000,28.0,"San Diego , CA",7/30/1991,Stanford,Active,San Francisco 49ers,7th season,80.0,Helix HS,"La Mesa, CA",83.0,268.0,
3,jonnusmith/2558207,"Smith, Jonnu",TE,2019,Regular Season,1,09/08,Away,CLE,W,43 to 13,1,1,1,7,7.0,7,0,1,10,10.0,10,0,--,--,37,ten,2.2,4000,24.0,"Philaldelphia , PA",8/22/1995,Florida International,Active,Tennessee Titans,3rd season,75.0,West Port HS,"Ocala, FL",81.0,248.0,
4,jonnusmith/2558207,"Smith, Jonnu",TE,2019,Regular Season,4,09/29,Away,ATL,W,24 to 10,1,1,1,5,5.0,5,0,--,--,--,--,--,--,--,313,ten,1.0,4000,24.0,"Philaldelphia , PA",8/22/1995,Florida International,Active,Tennessee Titans,3rd season,75.0,West Port HS,"Ocala, FL",81.0,248.0,
5,jonnusmith/2558207,"Smith, Jonnu",TE,2019,Regular Season,6,10/13,Away,DEN,L,0 to 16,1,0,1,8,8.0,8,0,--,--,--,--,--,--,--,469,ten,1.3,4500,24.0,"Philaldelphia , PA",8/22/1995,Florida International,Active,Tennessee Titans,3rd season,75.0,West Port HS,"Ocala, FL",81.0,248.0,
6,danarnold/2559385,"Arnold, Dan",TE,2019,Regular Season,7,10/20,Away,CHI,W,36 to 25,1,0,0,0,--,--,0,--,--,--,--,--,--,--,562,nor,0.0,4000,24.0,"Milwaukee , WI",3/15/1995,Wis.-Platteville,Active,New Orleans Saints,3rd season,78.0,Stanley HS,"Fargo, ND",85.0,220.0,
7,evanengram/2557858,"Engram, Evan",TE,2019,Regular Season,1,09/08,Away,DAL,L,17 to 35,1,0,11,116,10.5,22,1,--,--,--,--,--,--,--,0,nyg,23.1,6400,25.0,"Smyrna , GA",9/2/1994,Mississippi,Active,New York Giants,3rd season,75.0,Hillgrove HS,"Powder Springs, GA",88.0,240.0,
8,evanengram/2557858,"Engram, Evan",TE,2019,Regular Season,8,10/27,Away,DET,L,26 to 31,1,1,4,40,10.0,18,1,--,--,--,--,--,--,--,582,nyg,12.0,6300,25.0,"Smyrna , GA",9/2/1994,Mississippi,Active,New York Giants,3rd season,75.0,Hillgrove HS,"Powder Springs, GA",88.0,240.0,
9,loganthomas/2543767,"Thomas, Logan",TE,2019,Regular Season,1,09/08,Away,ARI,T,27 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--,59,det,0.0,4000,28.0,"Lynchburg , VA",7/1/1991,Virginia Tech,Active,Detroit Lions,5th season,78.0,Brookville HS,"Lynchburg, VA",82.0,250.0,
10,loganthomas/2543767,"Thomas, Logan",TE,2019,Regular Season,3,09/22,Away,PHI,W,27 to 24,1,0,1,15,15.0,15,0,--,--,--,--,--,--,--,211,det,2.0,4000,28.0,"Lynchburg , VA",7/1/1991,Virginia Tech,Active,Detroit Lions,5th season,78.0,Brookville HS,"Lynchburg, VA",82.0,250.0,
11,geoffswaim/2553454,"Swaim, Geoff",TE,2019,Regular Season,2,09/15,Away,HOU,L,12 to 13,1,0,3,14,4.7,9,0,--,--,--,--,--,--,--,118,jac,2.9,4500,26.0,"Chico , CA",9/16/1993,Texas,Injured reserve,Jacksonville Jaguars,5th season,76.0,Pleasant Valley HS,"Chico, CA",87.0,260.0,
